gyrate (nm),Systems
2.29379,Wild
2.30639,Wild
2.29728,Wild
2.31056,Wild
2.30304,Wild
2.31124,Wild
2.28977,Wild
2.29076,Wild
2.29565,Wild
2.31158,Wild
2.30309,Wild
2.30159,Wild
2.30159,Wild
2.30504,Wild
2.28509,Wild
2.31167,Wild
2.29601,Wild
2.28561,Wild
2.29234,Wild
2.28816,Wild
2.28472,Wild
2.29837,Wild
2.30055,Wild
2.29903,Wild
2.29768,Wild
2.30157,Wild
2.31008,Wild
2.30757,Wild
2.3068,Wild
2.30961,Wild
2.30747,Wild
2.31204,Wild
2.30916,Wild
2.31203,Wild
2.30284,Wild
2.30942,Wild
2.30039,Wild
2.29983,Wild
2.31728,Wild
2.30449,Wild
2.31755,Wild
2.28683,Wild
2.29078,Wild
2.31088,Wild
2.28825,Wild
2.28752,Wild
2.29889,Wild
2.30695,Wild
2.29692,Wild
2.29636,Wild
2.28677,Wild
2.29357,Wild
2.29646,Wild
2.32503,Wild
2.32626,Wild
2.31087,Wild
2.29798,Wild
2.30921,Wild
2.32816,Wild
2.30847,Wild
2.30411,Wild
2.30668,Wild
2.31274,Wild
2.3055,Wild
2.29731,Wild
2.29985,Wild
2.30788,Wild
2.30469,Wild
2.29932,Wild
2.3112,Wild
2.31251,Wild
2.30668,Wild
2.30897,Wild
2.32804,Wild
2.31664,Wild
2.33381,Wild
2.3401,Wild
2.32919,Wild
2.32275,Wild
2.31904,Wild
2.32175,Wild
2.30548,Wild
2.31273,Wild
2.29446,Wild
2.29985,Wild
2.3031,Wild
2.31682,Wild
2.30549,Wild
2.3185,Wild
2.28981,Wild
2.30842,Wild
2.32258,Wild
2.32543,Wild
2.31228,Wild
2.30854,Wild
2.31097,Wild
2.31171,Wild
2.31884,Wild
2.32503,Wild
2.33455,Wild
2.32715,Wild
2.3167,Wild
2.31669,Wild
2.31132,Wild
2.31144,Wild
2.31638,Wild
2.29576,Wild
2.31685,Wild
2.30268,Wild
2.29263,Wild
2.30764,Wild
2.31297,Wild
2.30728,Wild
2.30634,Wild
2.28845,Wild
2.29485,Wild
2.29716,Wild
2.29967,Wild
2.29865,Wild
2.28279,Wild
2.29411,Wild
2.29156,Wild
2.30888,Wild
2.31656,Wild
2.30908,Wild
2.29819,Wild
2.31163,Wild
2.29486,Wild
2.28897,Wild
2.29226,Wild
2.28917,Wild
2.29951,Wild
2.3067,Wild
2.31333,Wild
2.30997,Wild
2.29996,Wild
2.31972,Wild
2.31006,Wild
2.31654,Wild
2.31837,Wild
2.31314,Wild
2.31177,Wild
2.30195,Wild
2.31139,Wild
2.3055,Wild
2.3071,Wild
2.3059,Wild
2.28,Wild
2.28614,Wild
2.30288,Wild
2.30353,Wild
2.298,Wild
2.30073,Wild
2.3021,Wild
2.29798,Wild
2.30199,Wild
2.30202,Wild
2.29832,Wild
2.30584,Wild
2.29388,Wild
2.28947,Wild
2.28014,Wild
2.28524,Wild
2.2823,Wild
2.28989,Wild
2.2764,Wild
2.27932,Wild
2.27352,Wild
2.29145,Wild
2.28782,Wild
2.28648,Wild
2.27176,Wild
2.27378,Wild
2.27358,Wild
2.28245,Wild
2.28043,Wild
2.27776,Wild
2.26744,Wild
2.27298,Wild
2.27341,Wild
2.28238,Wild
2.28798,Wild
2.29219,Wild
2.28336,Wild
2.29537,Wild
2.29092,Wild
2.29539,Wild
2.29742,Wild
2.29219,Wild
2.28666,Wild
2.27564,Wild
2.27168,Wild
2.28447,Wild
2.28449,Wild
2.28233,Wild
2.27596,Wild
2.2885,Wild
2.29053,Wild
2.29726,Wild
2.30095,Wild
2.30342,Wild
2.2903,Wild
2.29478,Wild
2.28611,Wild
2.29416,Wild
2.31293,Wild
2.30399,Wild
2.29164,Wild
2.30297,Wild
2.29548,Wild
2.30458,Wild
2.30445,Wild
2.28766,Wild
2.2948,Wild
2.29112,Wild
2.29288,Wild
2.2911,Wild
2.29995,Wild
2.29645,Wild
2.30552,Wild
2.31188,Wild
2.31016,Wild
2.30637,Wild
2.30259,Wild
2.29724,Wild
2.2961,Wild
2.30339,Wild
2.2793,Wild
2.30071,Wild
2.30802,Wild
2.29432,Wild
2.2955,Wild
2.30021,Wild
2.29943,Wild
2.29897,Wild
2.29231,Wild
2.30366,Wild
2.30146,Wild
2.32141,Wild
2.32268,Wild
2.30804,Wild
2.30238,Wild
2.29989,Wild
2.30522,Wild
2.29686,Wild
2.30227,Wild
2.30527,Wild
2.30676,Wild
2.30434,Wild
2.31224,Wild
2.29721,Wild
2.29516,Wild
2.28677,Wild
2.29316,Wild
2.30849,Wild
2.29173,Wild
2.30091,Wild
2.31051,Wild
2.30465,Wild
2.31097,Wild
2.32933,Wild
2.31642,Wild
2.31112,Wild
2.31518,Wild
2.31482,Wild
2.32003,Wild
2.31878,Wild
2.3259,Wild
2.31114,Wild
2.32707,Wild
2.32203,Wild
2.30729,Wild
2.30488,Wild
2.30925,Wild
2.30225,Wild
2.30565,Wild
2.29737,Wild
2.30967,Wild
2.29082,Wild
2.29508,Wild
2.30019,Wild
2.29024,Wild
2.28293,Wild
2.28673,Wild
2.28472,Wild
2.30519,Wild
2.29897,Wild
2.29389,Wild
2.28924,Wild
2.29223,Wild
2.2891,Wild
2.3085,Wild
2.31385,Wild
2.31641,Wild
2.31297,Wild
2.3198,Wild
2.30826,Wild
