"","V1"
"796",0.1479819
"797",0.1534862
"798",0.1513274
"799",0.1669971
"800",0.15742
"801",0.1627355
"802",0.1684607
"803",0.1841388
"804",0.1561065
"805",0.1776974
"806",0.1608009
"807",0.1771345
"808",0.1445157
"809",0.1549611
"810",0.1689687
"811",0.1718591
"812",0.207607
"813",0.1878422
"814",0.219754
"815",0.2033163
"816",0.2151459
"817",0.2097451
"818",0.2198845
"819",0.2304929
"820",0.2283091
"821",0.1916377
"822",0.1883459
"823",0.1971042
"824",0.2037951
"825",0.1936084
"826",0.1774774
"827",0.151744
"828",0.1563253
"829",0.1620705
"830",0.1635023
"831",0.1460184
"832",0.1577586
"833",0.1451531
"834",0.1246769
"835",0.12965
"836",0.1285826
"837",0.1138278
"838",0.1192288
"839",0.1403622
"840",0.1581743
"841",0.1538734
"842",0.177328
"843",0.1854656
"844",0.1686007
"845",0.1738203
"846",0.1545084
"847",0.1551012
"848",0.1390727
"849",0.1699175
"850",0.1512396
"851",0.1709598
"852",0.1790694
"853",0.1689788
"854",0.1508166
"855",0.1636054
"856",0.1715344
"857",0.1444263
"858",0.1558249
"859",0.1394612
"860",0.1509441
"861",0.1470336
"862",0.1513387
"863",0.156908
"864",0.1627119
"865",0.1477402
"866",0.1532118
"867",0.1607155
"868",0.1819295
"869",0.1541649
"870",0.1774542
"871",0.1839677
"872",0.1695951
"873",0.1642325
"874",0.1581953
"875",0.1628921
"876",0.1642332
"877",0.1870814
"878",0.1779554
"879",0.1486574
"880",0.1565915
"881",0.1381344
"882",0.1313554
"883",0.1509705
"884",0.1475254
"885",0.154266
"886",0.1647558
"887",0.1773229
"888",0.1640665
"889",0.1628934
"890",0.1760656
"891",0.1594633
"892",0.1464824
"893",0.1452675
"894",0.1385226
"895",0.1626213
"896",0.1727225
"897",0.1674528
"898",0.1521719
"899",0.1437934
"900",0.1593743
"901",0.1953736
"902",0.1599524
"903",0.1433231
"904",0.1493396
"905",0.1400052
"906",0.1269926
"907",0.1255776
"908",0.1578599
"909",0.1562618
"910",0.1520599
"911",0.1606617
"912",0.1652475
"913",0.1654373
"914",0.157598
"915",0.1828892
"916",0.2011503
"917",0.1852912
"918",0.1990923
"919",0.1862641
"920",0.1681046
"921",0.1815029
"922",0.1833867
"923",0.154032
"924",0.1859461
"925",0.2143579
"926",0.1908744
"927",0.1865944
"928",0.1956662
"929",0.1814412
"930",0.2280569
"931",0.2171329
"932",0.1901276
"933",0.1998333
"934",0.1933081
"935",0.2025502
"936",0.159568
"937",0.1620028
"938",0.2009067
"939",0.2064098
"940",0.1993081
"941",0.1922343
"942",0.1969786
"943",0.2276547
"944",0.2196914
"945",0.2166201
"946",0.1814854
"947",0.1988932
"948",0.2209116
"949",0.2287593
"950",0.2241825
"951",0.2440586
"952",0.2413082
"953",0.2434274
"954",0.2511996
"955",0.2555049
"956",0.2139243
"957",0.2052313
"958",0.2018924
"959",0.2074465
"960",0.1813095
"961",0.1670663
"962",0.1594893
"963",0.1782401
"964",0.1917199
"965",0.1698862
"966",0.1675271
"967",0.1686622
"968",0.1867104
"969",0.2206962
"970",0.2190768
"971",0.2152602
"972",0.1736029
"973",0.145556
"974",0.159552
"975",0.148255
"976",0.1451927
"977",0.1362615
"978",0.1410643
"979",0.1612661
"980",0.1534222
"981",0.1436394
"982",0.1519745
"983",0.1473398
"984",0.1575652
"985",0.1728409
"986",0.1366893
"987",0.1480676
"988",0.1397047
"989",0.1551846
"990",0.1492202
"991",0.1551982
"992",0.1632273
"993",0.1628433
"994",0.1438222
"995",0.1420745
"996",0.1596422
"997",0.1493194
"998",0.133495
"999",0.1356654
"1000",0.14208
"1001",0.1299084
"1002",0.1239692
"1003",0.114677
"1004",0.1171532
"1005",0.1482922
"1006",0.1187191
"1007",0.1268183
"1008",0.1054239
"1009",0.1224479
"1010",0.113874
"1011",0.1103505
"1012",0.111942
"1013",0.1164517
"1014",0.1184643
"1015",0.1119594
"1016",0.1223115
"1017",0.1291352
"1018",0.1299013
"1019",0.1338318
"1020",0.1374911
"1021",0.1694117
"1022",0.1580647
"1023",0.1311668
"1024",0.1281405
"1025",0.1354649
"1026",0.1244917
"1027",0.128501
"1028",0.1495421
"1029",0.1281433
"1030",0.1346475
"1031",0.1357829
"1032",0.1407389
"1033",0.1652945
"1034",0.16028
"1035",0.159039
"1036",0.1418111
"1037",0.1612709
"1038",0.1623762
"1039",0.1457465
"1040",0.1483322
"1041",0.1415058
"1042",0.155175
"1043",0.1718768
"1044",0.1561587
"1045",0.1582648
"1046",0.1473571
"1047",0.13446
"1048",0.1485683
"1049",0.157257
"1050",0.1544289
"1051",0.1503956
"1052",0.180078
"1053",0.1848846
"1054",0.1663977
"1055",0.153473
"1056",0.1363163
"1057",0.1456642
"1058",0.1574331
"1059",0.1485023
"1060",0.142391
"1061",0.1559223
"1062",0.1291959
"1063",0.138734
"1064",0.1262649
"1065",0.1406622
"1066",0.1436078
"1067",0.1465576
"1068",0.1387649
"1069",0.1405171
"1070",0.131177
"1071",0.1318985
"1072",0.142657
"1073",0.1297801
"1074",0.1291086
"1075",0.13602
"1076",0.135418
"1077",0.1408442
"1078",0.1523713
"1079",0.1573387
"1080",0.1436091
"1081",0.1468825
"1082",0.1513748
"1083",0.1545438
"1084",0.1407918
"1085",0.1354185
"1086",0.1325754
"1087",0.1596785
"1088",0.1848659
"1089",0.1407994
"1090",0.1530909
"1091",0.1491411
"1092",0.1442836
"1093",0.1402907
"1094",0.1358816
"1095",0.134217
"1096",0.1419036
"1097",0.1568461
"1098",0.1399018
"1099",0.1544452
"1100",0.1445136
"1101",0.1357031
"1102",0.1341476
"1103",0.1259807
"1104",0.11596
"1105",0.137851
"1106",0.1327118
"1107",0.1177298
"1108",0.1176076
"1109",0.1226925
"1110",0.1240197
"1111",0.1392402
"1112",0.1362188
"1113",0.132935
"1114",0.1326046
"1115",0.1374145
"1116",0.14012
"1117",0.1286302
"1118",0.1372986
"1119",0.1456858
"1120",0.1597325
"1121",0.1599948
"1122",0.1782551
"1123",0.2004931
"1124",0.1850508
"1125",0.1705174
"1126",0.1764288
"1127",0.1990359
"1128",0.1729744
"1129",0.1642291
"1130",0.1586173
"1131",0.1339164
"1132",0.1299207
"1133",0.1413787
"1134",0.1620378
"1135",0.1328913
"1136",0.1498209
