rmsd (nm),Systems
0.1647301,Wild
0.1480595,Wild
0.1457405,Wild
0.1369633,Wild
0.1660336,Wild
0.1636118,Wild
0.1533697,Wild
0.1436367,Wild
0.1551564,Wild
0.1616496,Wild
0.1652686,Wild
0.1507613,Wild
0.1511029,Wild
0.1527743,Wild
0.1432441,Wild
0.1447632,Wild
0.149149,Wild
0.1625731,Wild
0.1674157,Wild
0.1644352,Wild
0.1509468,Wild
0.1797516,Wild
0.1482973,Wild
0.1536652,Wild
0.1329033,Wild
0.1348701,Wild
0.1227682,Wild
0.122985,Wild
0.1292954,Wild
0.133252,Wild
0.1340876,Wild
0.1321738,Wild
0.1493066,Wild
0.1530185,Wild
0.1212936,Wild
0.1318074,Wild
0.1424287,Wild
0.158461,Wild
0.1590534,Wild
0.1610143,Wild
0.1345313,Wild
0.147445,Wild
0.1682216,Wild
0.1639025,Wild
0.1738194,Wild
0.1646576,Wild
0.182301,Wild
0.1636384,Wild
0.1428934,Wild
0.1480713,Wild
0.1640392,Wild
0.1549903,Wild
0.1457134,Wild
0.1398492,Wild
0.1576124,Wild
0.1487326,Wild
0.1437147,Wild
0.1456417,Wild
0.1399818,Wild
0.1413425,Wild
0.1444362,Wild
0.1282839,Wild
0.1349747,Wild
0.1477597,Wild
0.1392131,Wild
0.1616525,Wild
0.1828254,Wild
0.1587337,Wild
0.1719082,Wild
0.2117993,Wild
0.2028885,Wild
0.181206,Wild
0.2004276,Wild
0.1905875,Wild
0.194089,Wild
0.1981019,Wild
0.1797498,Wild
0.1841063,Wild
0.1944588,Wild
0.2172506,Wild
0.1832119,Wild
0.1983954,Wild
0.1626013,Wild
0.1423318,Wild
0.1524512,Wild
0.1341228,Wild
0.1391677,Wild
0.1305584,Wild
0.1519034,Wild
0.1507349,Wild
0.1446639,Wild
0.1359634,Wild
0.1414256,Wild
0.1338564,Wild
0.1682765,Wild
0.1740924,Wild
0.1603381,Wild
0.1481136,Wild
0.1472607,Wild
0.1771732,Wild
0.147016,Wild
0.1491778,Wild
0.1447811,Wild
0.1598715,Wild
0.1423441,Wild
0.1434126,Wild
0.1427666,Wild
0.1459696,Wild
0.1678997,Wild
0.1625801,Wild
0.1615705,Wild
0.1625824,Wild
0.1447958,Wild
0.1487609,Wild
0.1635971,Wild
0.1728106,Wild
0.1953976,Wild
0.2292995,Wild
0.2049552,Wild
0.196415,Wild
0.193562,Wild
0.1976341,Wild
0.1627108,Wild
0.1634207,Wild
0.1364793,Wild
0.138468,Wild
0.1443081,Wild
0.1706121,Wild
0.1559935,Wild
0.1735427,Wild
0.1549989,Wild
0.1779186,Wild
0.1758475,Wild
0.1811387,Wild
0.172142,Wild
0.1492108,Wild
0.1916766,Wild
0.1765807,Wild
0.1774746,Wild
0.194613,Wild
0.199409,Wild
0.1937245,Wild
0.1773796,Wild
0.1595235,Wild
0.164829,Wild
0.1581493,Wild
0.1621203,Wild
0.1362048,Wild
0.1661242,Wild
0.1525667,Wild
0.1274991,Wild
0.1411582,Wild
0.1549273,Wild
0.1584854,Wild
0.1596023,Wild
0.1486018,Wild
0.1532281,Wild
0.1491605,Wild
0.1640183,Wild
0.1627314,Wild
0.1447989,Wild
0.1586205,Wild
0.1604667,Wild
0.1535629,Wild
0.1585041,Wild
0.1401839,Wild
0.1505717,Wild
0.1537679,Wild
0.1292105,Wild
0.1246465,Wild
0.1321666,Wild
0.1371631,Wild
0.1370888,Wild
0.155745,Wild
0.1860627,Wild
0.1752322,Wild
0.1650732,Wild
